Author(s) ID,Title,Year,Abstract,Keywords,Language of Original Document,Document Type,Abstract Length,Topic_Label,Topic_Category
NoID,"International Conference on Environment and Smart Society, ICEnSO 2023",2023,"The proceedings contain 89 papers. The topics discussed include: determinants of the quality human resources in west Kalimantan Province; utilization of mortar waste as environmentally friendly construction material replacement to support sustainable development goals; public participation in regulation on the protection of marine resources; towards a greener future: promoting green and sustainable development in transportation operation; economic improvement, environmental sustainability, and community empowerment in Indonesia: bibliometric analysis (smart city and smart tourism) year 2013-2022; strengthening public organization capacity of fisherman empowerment programs in South Sulawesi Province: a smart society as outcome; environmental development program of CSR: analysis of waste bank in Karya Mulia Village, Palembang, Indonesia; and to what extend the social assistance smart application can be monitored sustain environmentally and inclusive? case study: elderly and vulnerable people.",,English,Conference review,128,11,Rural Resource Management
57218824217; 55666028500,Urban Spatial Strategies of the Gulf Cooperation Council: A Comparative Analysis and Lessons Learned,2023,"Gulf Cooperation Council (GCC) members have experienced tremendous transformation in their smart cities in recent years. Every GCC nation has its own urban planning authority to manage urban growth and development since its independence from British rule. These planning agencies create strategies, plans, rules, and oversee the building process. The novelty of this research lies in its comprehensive analysis, cross-border comparisons, and the generation of insights that contribute to a deeper understanding of urban planning dynamics and strategies within the Gulf Cooperation Council. The objective of this article is to examine the national spatial strategies (NSS) and vision plans of GCC countries. This study discusses the existing methods, plans, and efforts to accomplish this goal while emphasizing prospective opportunities, problems, and difficulties. We used the SWOT method to evaluate the national vision plans of GCC countries. The analysis identifies successful outcomes that the GCC countries have already achieved in terms of their national spatial strategies. The weakness in the current strategies is oil dependency, which could be strengthened. Potential opportunities in the tourism sector need to be taken full advantage of, and potential threats, like regional tension, need to be managed to prevent the failure of the development of the existing urban system. The primary suggestion entails executing programs outlined by the respective line ministries and ensuring efficient management of urban spatial expansion by municipal authorities. However, the findings could serve as lessons for those at the helm of affairs in GCC countries to collaborate and achieve a comprehensive national strategic plan. © 2023 by the authors.","GCC; national spatial strategy; SWOT; vision plan, growth and development; strategic approach; urban growth; urban planning; urban policy",English,Article,257,11,Rural Resource Management
57879463800; 57215349159; 24801845800; 57128423800; 57195215537; 58243497000; 57197737254; 22035826800,SocioCoast: Design and Implementation of a Data-Driven Platform for Citizen Science in Coastal Areas,2023,"Due to the rapid urbanization and globalization that has occurred in recent decades, cities have undergone significant changes and transformations. The smart city concept can lead to improvements in the life quality of citizens and contribute to the city's sustainability by collecting humans' real-time observations. More specifically in smart coastal areas, citizen's science data can be utilized not only to increase the effectiveness of its services like smart tourism and smart transit but also to raise awareness about environmental issues. Emphasizing on coastal areas under the Blue Flag program and the Natura 2000 network, in this work, we introduce a system that aims to collect crowdsourcing data from citizens and tourists and combine or compare them with existing knowledge for these areas. We describe the design and implementation: the back-end, its data sources and also the front-end outputs, a web knowledge platform, and a crowdsourcing mobile application. Geospatial information as well as historical or real-time data collected will be provided to users for further exploitation and creation of their own applications. A demonstration of the system is also provided to showcase its usefulness in increasing attractiveness and raising awareness for coastal areas by offering users rich and updated information. © 2023 Copyright held by the owner/author(s).","Citizen science; coastal areas; crowdsourcing; data collection; data visualization; smart beaches, Coastal zones; Data acquisition; Data visualization; Sustainable development; Tourism; Citizen science; Coastal area; Data collection; Data driven; Design and implementations; Globalisation; Life qualities; Rapid urbanizations; Real-time observation; Smart beach; Crowdsourcing",English,Article,206,3,Urban Sustainability
56002730500; 56002731500; 23972802400; 56000813100; 35766383800; 56134302700; 55906852500; 55807564600; 58706658400,Smart government and future trends,2023,"Several technologies are available to help citizens, and government officials perform their daily activities in a city. The current state-of-the-art technologies to help citizens and government officials exist wireless sensor networks, RFDI technology, combinatorial optimisation, machine learning, big data, data visualisation, internet of government things, big-data analytics, and others to enhance the quality of the government. The authors have collected the relevant literature published during 2001-2021 by searching and browsing all the major digital libraries and publisher websites. The findings show the importance of the smart government's technology-assisted (electronic government, management of the economy, open data, civil works, tourism, management of the disasters, healthcare systems, and others). This chapter aims to determine how smart government components improve the activities in a city of the citizens and government officials. This paper also presents a survey of the characteristics, taxonomy, smart government indicators, history, and future trends. © 2023, IGI Global. All rights reserved.",,English,Book chapter,152,3,Urban Sustainability
57226868367; 55736798300,Will World Cultural Heritage Sites Boost Economic Growth? Evidence from Chinese Cities,2023,"Cultural heritage is closely related to the economy. However, most studies focus on the relationship between the cultural heritage and tourism economy, instead of on the overall economy. This paper estimated the effect of the World Cultural Heritage(s) (WCH) acquisition on economic growth in 242 Chinese cities from 2004 to 2017, based on multiple variations of the difference-in-differences method. Our results show that the WCH acquisition can boost economic growth in local cities. In addition, research and development investments, appearance patents, and exports are three plausible channels for the WCH acquisition to spur cities’ economic growth. Connecting to high-speed rail is not necessary for a city to gather economic benefits from the WCH acquisition. Being a smart city can increase the economic enhancement capacity of the WCH acquisition. © 2023 by the authors.","China; cultural heritage; economic growth; research and development; smart city; tourism economics, cultural heritage; difference-in-differences model; economic growth",English,Article,133,3,Urban Sustainability
58450059700; 35751118200; 57205640102; 56028230600; 13003768500; 56624340400; 57208798743,Measuring activity-based social segregation using public transport smart card data,2023,"While social segregation is often assessed using static data concerning residential areas, the extent to which people with diverse background travel to the same destinations may offer an additional perspective on the extent of urban segregation. This study further contributes to the measurement of activity-based social segregation between multiple groups using public transport smart card data. In particular, social segregation is quantified using the ordinal information theory index to measure the income group mix at public transport journey destination zones. The method is applied to the public transport smart card data of Stockholm County, Sweden. Applying the index on 2017–2020 data sets for a selected week, shows significant differences between income groups’ segregation along the radial public transport corridors following the opening of a major rail project in the summer of 2017. The overall slight decrease in segregation over the years can be linked to declining segregation in the city center as a travel destination and its public transport hubs. Increasing zonal segregation is observed in suburban and rural zones with commuter train stations. This method helps to quantify social segregation, enriching the analysis of urban segregation and can aid in evaluating policies based on the dynamics of social life. © 2023 The Author(s)","Ex-post transport appraisal; Public transport; Smart card data; Social segregation, Stockholm [Sweden]; Sweden; commuting; data set; public transport; quantitative analysis; railway transport; social segregation; urban area",English,Article,204,4,Mobility and Transportation
57863675900; 54881031400; 55941040100; 56951063800; 33768027200; 58125103400,"Can We Talk about Smart Tourist Villages in Mărginimea Sibiului, Romania?",2023,"The aim of this paper is to evaluate some villages in the mountain area of Sibiu County, Romania, as “smart” tourist villages. The research was carried out in two stages: Stage 1 was collection of information on (a) food products registered in different national and international quality schemes and (b) the number of tourist structures by type, comfort category, and accommodation capacity. Stage 2 was a case study conducted among 32 rural tourism entrepreneurs from 3 villages in Mărginimea Sibiului, using a questionnaire with 22 items on the criteria for evaluation of “smart” villages. The answers were systematized, statistically processed, and interpreted. The main results are as follows: (a) Concerning products, producers, and gastronomic points (PGL) registered, there are 9 products in the quality scheme “mountain product”, 10 producers on the platform “Gusturisibiene”, 1 producer of “telemea de Sibiu”, a registered product with protected geographical indication, and 2 PGL. (b) The number of officially registered tourist structures is 93, of which 72% are agritourism guesthouses. (c) The results for the evaluation of villages as “smart” are that 78.2% of locals use the internet, 74% own at least one smart device, 60.16% of energy used is renewable. There are low values of water and air pollution; there are local job and business opportunities (93.75%); future local development activities will target agriculture with all its sectors and agritourism; public administrations have implemented 7 types of activities to increase the attractiveness of localities; and quality of life, services, and social life aspects are perceived to be at high standards. © 2023 by the authors.","Mărginimea Sibiului; Romania; rural development; smart communities; smart tourism; smart village, Romania; Sibiu; agriculture; alternative agriculture; alternative energy; atmospheric pollution; ecotourism; groundwater pollution; rural development; tourism management; tourism market; tourist destination",English,Article,261,3,Urban Sustainability
7004584278; 57215346436; 57222620671; 58147856900; 57221782569; 58147326600; 57543522500; 58147591900; 39262385300; 6603783351; 6602799525; 57224349706,Nature dependent tourism – Combining big data and local knowledge,2023,"The ability to quantify nature's value for tourism has significant implications for natural resource management and sustainable development policy. This is especially true in the Eastern Caribbean, where many countries are embracing the concept of the Blue Economy. The utilization of user-generated content (UGC) to understand tourist activities and preferences, including the use of artificial intelligence and machine learning approaches, remains at the early stages of development and application. This work describes a new effort which has modelled and mapped multiple nature dependent sectors of the tourism industry across five small island nations. It makes broad use of UGC, while acknowledging the challenges and strengthening the approach with substantive input, correction, and modification from local experts. Our approach to measuring the nature-dependency of tourism is practical and scalable, producing data, maps and statistics of sufficient detail and veracity to support sustainable resource management, marine spatial planning, and the wider promotion of the Blue Economy framework. © 2023","Artificial Intelligence; Big Data; Conservation of Natural Resources; Sustainable Development; Tourism; artificial intelligence; ecosystem service; machine learning; natural resource; resource management; sustainable development; tourism; traditional knowledge; wildfire; article; big data; Caribbean; economic aspect; ecosystem service; human; resource management; tourism; wildlife; artificial intelligence; environmental protection; sustainable development, Blue economy; Eastern caribbean; Ecosystem services; Nature dependent tourism; User-generated content; Wildlife tourism",English,Article,157,11,Rural Resource Management
58197530900; 57188991715,Reshaping the tourist movement in historical urban areas for enhancing architecture conservation: Historical district of Koya city as a case study,2023,"Architectural strategy in the conservation field should be on both levels, tangible and intangible. The conservation of the non-tangible part includes signs and symbols. It transmits in various ways, like oral, artistic, and literary forms of expression. The visitor of historical places can participate in non-tangible conservation if the architect makes the visitor attracted to the sites. To make the visitor see the values of the sites, the visitor should move to different parts in different directions instead of seeing a few buildings and monuments. The study aims to increase visitor activity to promote non-physical conservation. Many places like Koya city have a very high architectural value but it is still neglected and uncovered by visitors. Researchers made observations to demonstrate the general characteristics of the district, then designed a questionnaire to collect the required data, specifying the locations they mostly visit, determining the paths they have taken, defining the areas visitors rarely visit, and alleys they do not go through for various reasons, gradually becoming a neglected place. Finally, the study conducted space syntax analysis based on pedestrian movement to reshape the visitor's movement. Based on the findings, the study will design strategies to enhance tourist movement and conserve non-tangibles. © 2023 The Authors. IET Smart Cities published by John Wiley & Sons Ltd on behalf of The Institution of Engineering and Technology.","Smart city; Syntactics; Architecture conservation; Case-studies; Design strategies; Historical districts; Non-tangible conservation; Pedestrian movement; Space syntax; Syntax analysis; Tourist activities; Urban areas; Architecture, architecture conservation; non-tangible conservation; pedestrian movement; tourist activity",English,Article,224,3,Urban Sustainability
57205129962; 55728994600; 58555574600; 58555671800; 57196044090,Profiling Public Transit Passenger Mobility Using Adversarial Learning,2023,"It is important to capture passengers’ public transit behavior and their mobility to create profiles, which are critical for analyzing human activities, understanding the social and economic structure of cities, improving public transportation, assisting urban planning, and promoting smart cities. In this paper, we develop a generative adversarial machine learning network to characterize the temporal and spatial mobility behavior of public transit passengers, based on massive smart card data and road network data. The Apriori algorithm is extended with spatio-temporal constraints to extract frequent transit mobility patterns of individual passengers based on a reconstructed personal trip dataset. This individual-level pattern information is used to construct personalized feature vectors. For regular and frequent public transit passengers, we identify similar transit mobility groups using spatio-temporal constraints to construct a group feature vector. We develop a generative adversarial network to embed public transit mobility of passengers. The proposed model’s generator consists of an auto-encoder, which extracts a low-dimensional and compact representation of passenger behavior, and a pre-trained sub-generator containing generalization features of public transit passengers. Shenzhen City is taken as the study area in this paper, and experiments were carried out based on smart card data, road network data, and bus GPS data. Clustering analysis of embedding vector representation and estimation of the top K transit destinations were conducted, verifying that the proposed method can profile passenger transit mobility in a comprehensive and compact manner. © 2023 by the authors.",", generative adversarial network; public transit; smart card data; transit mobility embedding",English,Article,237,4,Mobility and Transportation
57217101810; 57337213800; 58478283900; 58490484900; 58489721300; 58553760000; 58553215700; 7402999799,Data-Driven Approach for Urban Micromobility Enhancement through Safety Mapping and Intelligent Route Planning,2023,"Micromobility responds to urban transport challenges by reducing emissions, mitigating traffic, and improving accessibility. Nevertheless, the safety of micromobility users, particularly cyclists, remains a concern in urban environments. This study aims to construct a safety map and a risk-averse routing system for micromobility users in diverse urban environments, as exemplified by a case study in Lisbon. A data-driven methodology uses object detection algorithms and image segmentation techniques to identify potential risk factors on cycling routes from Google Street View images. The ‘Bikeable’ Multilayer Perceptron neural network measures these risks, assigning safety scores to each image. The method analyzed 5321 points across 24 parishes in Lisbon, with an average safety score of 4.5, indicating a generally safe environment for cyclists. Carnide emerged as the safest area, while Alcântara exhibited a higher level of potential risks. Additionally, an equation is proposed to compute route efficiency, enabling comparisons between different routes for identical origin-destination pairs. Preliminary findings suggest that the presented routing solution exhibits higher efficiency than the commercial routing benchmark. Risk-averse routes did not result in a substantial rise in travel distance or time, with increments of 7% on average. The study also contributed to increasing the existing amount of cycle path data in Lisbon by 12%, correcting inaccuracies, and updating the network in OpenStreetMap, providing access to more precise information and, consequently, more routes. The key contributions of this study, such as the safety map and risk-averse router, underscore the potential of data-driven tools for boosting urban micromobility. The solutions proposed demonstrate modularity and adaptability, making them fit for a range of urban scenarios and highlighting their value for cities prioritizing safe, sustainable urban mobility. © 2023 by the authors.",", cycling; image segmentation; micromobility; mobility; object detection; route optimization; safety assessment; sustainability; urban transport",English,Article,279,4,Mobility and Transportation
58250013200; 56024774000; 56707693100,Towards a Smart Tourist Destination: Improving Quality of Life in Puerto Vallarta,2023,"The objective pursued by this research was to identify the areas of opportunity in the tourist destination as intelligent and influence the quality of life of the local community. The methodology to which it attended started from a documentary review and three instruments were applied to know the reality of the region, one to the local community, another to tourist and another to a government actor. The lines that must be followed were identified so that the tourist destination can be projected as intelligent and the quality of life of the inhabitants is improved. The main implication of this work is the limitation with respect to decision-making to exert a change at the operational level. The main results obtained were the opinions of actors in the area under study: community, tourist and government. It was concluded, based on the results, the main areas of opportunity that the tourist destination must work and develop together in order to project itself as intelligent. © 2023 WITPress. All rights reserved.","Jalisco; Mexico [North America]; Puerto Vallarta; decision making; ecotourism; methodology; quality of life; tourist destination, community well-being; smart destinations; sustainable tourism; tourism impacts",English,Article,167,3,Urban Sustainability
58314775100,"Culture, Spaces, and people: Urban dynamics in contemporary India",2023,"This volume discusses the nuances of cultural phenomena in the transforming urban landscape of Indian cities. It focuses on the role of globalization, transitioning economic patterns, and national urban policies in changing their urban landscape. The volume argues that culture is an important determinant of emergent urban patterns. It decodes and determines the human centred inter-linkages among social, cultural, economic, and political aspects, and their reactions to the transformations in urban morphology to understand the spatial perspective and visualization of new emerging cultural phenomena. The book reflects on the contemporary global forces and currently operational national urban policies that have enforced new dynamics of consumption, lifestyles, and institutions. Further, it also examines the ways in which these forces come together to create new hybrid cultures which manifest in spatial practices. With detailed case studies of different cities, this book will be of interest to students, teachers, and researchers of urban planning, cultural studies, urban sociology, urban geography, history, urban design, urban conservation, and policy studies. It will also be useful for professionals working in the field of smart cities in India and abroad, planning authorities, urban scientists, cultural tourists, artists, local cultural enthusiasts, and those interested in studying the urban conditions of Indian cities. © 2023 Daksh Jain. All rights reserved.",,English,Book,211,3,Urban Sustainability
NoID,"African Cities Conference, ACC 2023: A part of African Cities Lab 2023 Summit",2023,"The proceedings contain 27 papers. The topics discussed include: sustainable tourism through architectural hybridization; assessment of residential settlement planning in Medina, based on climate adaptability; the seedling landscape: a new challenge for a better conservation of biodiversity in the city; guided organic growth: a paradigm shift in new city making; improvement of the energy efficiency of buildings: thermal characterization of an ecological building material based on industrial cotton waste; the contributions of space geodesy to the construction of sustainable cities in Africa and around the world; the effect of sustainable and smart planning framework on urban logistics and mobility; a quantitative approach to road safety in Morocco: reducing accidents through predictive modeling; and preventing urban traffic congestion using VANET technology in urban area.",,English,Conference review,123,3,Urban Sustainability
58290084400,The smart city and COVID-19,2023,"Smart cities are concepts much loved by politicians and technologists but are very difficult to bring about in practice. There are many isolated applications in cities such as operating streetlamps, but very few, if any, examples of integrated applications sharing data and managing the city as a holistic entity rather than a set of disparate and unconnected applications. This is despite hundreds of trials and indicates how difficult bringing about a smart city will be. The key challenge is the wide range of interested parties in a city including the elected city authority, subcontractors and suppliers to the authority, emergency services, transport providers, businesses, residents, workers, tourists, and other visitors. Some of these entities will be primarily driven by finance, such as businesses and transport providers. Some will be driven by political considerations. Some will be concerned with the quality of life as well as financial costs. In some cases, there will be conflicting interests-the city may want as much information as possible on people in the city, whereas individuals may want privacy and the minimum data stored concerning their movements and attributes. COVID-19 does not change any of these issues, but it does increase the importance of some applications such as smart health, logistics, people surveillance, data security, and crisis management, while reducing the importance of others such as traffic management. It may result in more willingness for monitoring and data sharing if this can be shown to result in better control of the virus. © 2023 the authors.",", Centralised data storage; City governance; COVID-19; IoT; Smart city; Smart healthcare; Smart logistics; Trials",English,Book chapter,250,3,Urban Sustainability
57904381100; 59313200700; 57365713300; 57209994971; 58696939000; 59312786300,Urban Agriculture Pattern in High-Quality Urban-Rural Integration Stage: A Case Study of Guangzhou; [城乡高质量融合发展阶段都市农业的模式研究——基于广州的实践],2023,"This research investigated the new concept of urban agriculture in the new stage and its patterns based on four practical cases of urban agriculture in Guangzhou: Huacheng Farm Park in Tianhe, Happy Farmland in Haizhu, an urban Jintian in Huangpu, and Amy's Rice Town in Conghua. The results show the following: First, after experiencing the four stages of the independent stage in the urban-rural isolation period, output stage in the rural-support urban period, compensatory stage in the urban-feeding rural period, and modern agriculture stage in the urban-rural integration period, the new stage of urban-rural, high-quality integrated urban agriculture indicates the four new characteristics of new functions, new technologies, new mechanisms, and new forms. Second, based on the concepts of the four new characteristics of urban agriculture in the new stage, the development of urban agriculture in Guangzhou can be summarized by the four basic patterns of stereoscopic agriculture (new form), leisure agriculture (new function), rural complex (new technology), and shared agriculture (new mechanism) distributed from the central to outside region. Stereoscopic agriculture, which is basically located in the CBD, combines agriculture and commercial functions, focusing on new technologies such as e-commerce operations and technological displays, emphasizing the characteristics of commercial operations in the mechanism, and manifesting itself as an intensive three-dimensional construction. Leisure agriculture, essentially located in the urban central area, is the combination of agriculture and the daily recreation function of citizens. It applies park landscape construction and artistic creation techniques, revealing the characteristics of the farming experience and providing leisure parks for citizens. The rural complex is basically located in the inner suburban area and combines agricultural production with scientific research activities. It comprehensively uses new technologies of farmland consolidation and agricultural production and is characterized by science, technology, and agriculture shaped as independent islands. In the outer suburbs, shared agriculture combines traditional agricultural production with the rural tourism experience, in addition to using new agricultural technologies for farmland preparation and production. It also emphasizes using new Internet of Things technologies, highlighting the new mechanism of shared participation, and is designed as standardized farmland. Third, the innovative experience of Guangzhou's urban agriculture development mainly includes strengthening the transformation of agricultural resources and the value of multiple functions; diversified innovation and integration forms; pattern innovation, new technologies, and artificial intelligence to enhance the development of urban agriculture; the combined mechanism of ""government, enterprise, and university""; and institutional guarantees to facilitate the implementation of urban agriculture projects. The development of urban agriculture in the new stage of urban-rural integration in Guangzhou provides experience and lessons for other cities. © 2023 Editorial Committee of Tropical Geography. All rights reserved.","China; Guangdong; Guangzhou; agricultural development; agricultural land; rural area; urban agriculture, cultivated land protect; Guangzhou; high-quality integration of urban and rural areas; landscape blended into countryside; urban agriculture; urban and rural living environment",Chinese,Article,438,3,Urban Sustainability
55747148000; 50862023100; 58310473000,Can Destination Cards Help to Shape Areas’ Sustainability?,2023,"This paper examines whether destination cards can simultaneously serve tourists’ needs and sustainability goals. It provides useful insights for tourism authorities and policymakers in designing a smart tourist card that meets the needs of tourists while preserving and supporting areas’ wellbeing. Taking Thessaloniki city as a case study, a tourist survey, designed based on the key features of European destination cards, was implemented to identify needs and motivations. Interesting insight was revealed: tourists want to self-explore the city, are coming with their families, are history-lovers and gastronomy-keen, and are strongly willing to be provided with a destination card offering unlimited access to public transport. The latter reveals an opportunity for the city; the tourists are willing to use sustainable mobility options, which means that a base of sustainable travelling exists. The proposed Thessaloniki smart card can bring together tourists’ needs with the city’s sustainability goals; the development of tourist packages, including sustainable mobility provisions, walking-talking tours, and bike rentals, should be the backbone of the card. The next challenge for the city is to build a cooperation network to support this smart destination card implementation and promotion. © 2023 by the authors.","Central Macedonia; Greece; Thessaloniki [Central Macedonia]; Thessaloniki [Thessaloniki (DPR)]; ecotourism; public transport; surveying; Sustainable Development Goal; tourist destination, destination cards; sustainability; tourism; tourists’ needs",English,Article,192,3,Urban Sustainability
57455929500; 57195468849; 57209942380,National traditional festival tourism and visitors’ national identity: a dual collaborative framework of cultural inheritance and inherited innovation,2023,"Purpose: This study aims to explore and clarify the role of national traditional festival tourism in cultivating national identity (NI) and confirm its construction model. Design/methodology/approach: Based on social identity theory and complexity theory, a complex nurturing framework for visitors’ NI is developed. The paper with 479 samples used fuzzy-set qualitative comparative analysis to analyse NI from the holistic perspective of “cultural inheritance” (festival authenticity [FA], historical re-enactment [HR] and cultural experience [CE]) and “inherited innovation” (event design innovation [EDI], cultural innovation [CUI], aesthetic innovation [AI] and creative innovation [CRI]). Findings: The findings indicated three driving modes of forming NI: cultural inheritance-led, inherited innovation-led and the dual coordination of cultural inheritance and inherited innovation. FA, HR, CE, AI and CRI are core incentives, whereas event design and CUI are AI. Practical implications: The findings provide directions for strengthening visitors’ national emotion, which has significant value for the development of traditional festival tourism. Originality/value: The study offers a new perspective for the cultivation of NI in the tourism context and provides theoretical guidance for the coordinated development of cultural inheritance and inherited innovation in national traditional festival tourism destinations. © 2022, Emerald Publishing Limited.",", Cultural inheritance; fsQCA; Inherited innovation; National identity; National traditional festival tourism",English,Article,193,11,Rural Resource Management
58293262100; 58731392500; 58957195700,Green computing for sustainable future technologies and its applications,2023,"Purpose: Green computing is a way of using the computer resource in an eco-friendly while maintaining and decreasing the harmful environmental impact. Minimising toxic materials and reducing energy usage can also be used to recycle the product. Need for the Study: The motivation of the study is to use green computing resources to decrease carbon emissions and their adverse effect on the environment. Methodology: The study uses a qualitative method of collecting resources and data to address the opportunities, challenges, and future trends in green computing for Sustainable Future Technologies. The study focusses on multiple kinds of cloud computing services collected and executed into single remote servers. The service demand processor offers these services to the client per their needs. The simultaneous requests to access the cloud services, processing and expertly managing these requests by the processors are discussed and analysed. Findings: The findings suggest that green computing is an upcoming and most promising area. The number of resources employed for green computing can be beneficial for lowering E-waste so that computing can be environmentally friendly and self-sustainable. Practical Implications: Green computing applies across all industries and service sectors like healthcare, entertainment, tourism, and education. The convergence of technologies like Cloud Computing, AI, and Internet of Things (IoT) is greatly impacting Green Supply Chain Management (GSCM) market. © 2023 by Shazib Ahmad, Saksham Mishra and Vandana Sharma.",", Data centre; E-waste; Energy efficiency; Green computing; Green energy; Sustainable development",English,Book chapter,227,11,Rural Resource Management
57217857486; 59165867900; 57223392549,"Dynamic impacts of economic growth, energy use, tourism, and agricultural productivity on carbon dioxide emissions in Egypt",2023,"Global climate change, exacerbated by greenhouse gas (GHG) emissions, notably carbon dioxide (CO2), provides a huge danger to lives, the global environment, and development. The current study explored the dynamic effects of economic growth, fossil fuel energy consumption, renewable energy consumption, tourism, and agricultural productivity on CO2 emissions in Egypt. The Dynamic Ordinary Least Squares (DOLS) method was used to analyze time series data from 1990 to 2019. The empirical findings revealed that, while economic growth, the use of fossil fuel energy, and tourism contribute to environmental damage by cumulative CO2 emissions in Egypt, an increased share of renewable energy and agricultural productivity contribute to improved environmental quality by lowering CO2 emissions. Similar results were obtained using alternative estimators such as fully modified least squares (FMOLS) and canonical cointegrating regression (CCR). Furthermore, the pairwise Granger causality test was used to determine the causal relationship between the variables. This study adds to the current literature by putting light on the causes of pollution in Egypt. This article made policy ideas for a low-carbon economy, boosting renewable energy consumption, green tourism, and climate-smart agriculture, all of which would assure environmental sustainability in Egypt by lowering emissions. © 2023 The Author(s)",", Climate change; Co2 emissions; Egypt; Emission reduction; Environment; Sustainability",English,Article,198,11,Rural Resource Management
59043769000; 56025123300; 55810497200; 57210251050; 35759775600; 57217133750,Understanding changing public transit travel patterns of urban visitors during COVID-19: A multi-stage study,2023,"COVID-19 has caused huge disruptions to urban travel and mobility. As a critical transportation mode in cities, public transit was hit hardest. In this study, we analyze public transit usage of urban visitors with a nearly two-year smart card dataset collected in Jeju, South Korea – a major tourism city in the Asia Pacific. The dataset captures transit usage behavior of millions of domestic visitors who traveled to Jeju between January 1, 2019 and September 30, 2020. By identifying a few key pandemic stages based on COVID-19 timeline, we employ ridge regression models to investigate the impact of pandemic severity on transit ridership. We then derive a set of mobility indicators – from perspectives of trip frequency, spatial diversity, and travel range – to quantify how individual visitors used the transit system during their stay in Jeju. By further employing time series decomposition, we extract the trend component for each mobility indicator to study long-term dynamics of visitors’ mobility behavior. According to the regression analysis, the pandemic had a dampening effect on public transit ridership. The overall ridership was jointly affected by national and local pandemic situations. The time series decomposition result reveals a long-term decay of individual transit usage, hinting that visitors in Jeju tended to use the transit system more conservatively as the pandemic endured. The study provides critical insights into urban visitors’ transit usage behavior during the pandemic and sheds light on how to restore tourism, public transit usage, and overall urban vibrancy with some policy suggestions. © 2023 Hong Kong Society for Transportation Studies",", COVID-19; Public transit; Smart card data; Tourism; Travel behavior",English,Article,258,4,Mobility and Transportation
57209717481; 57195244459,"Neighborhood Identity Formation and the Changes in an Urban Regeneration Neighborhood in Gwangju, Korea",2023,"Since the Urban Regeneration Act in 2013, central and local Korean governments have endeavored to regenerate deprived urban neighborhoods. This study analyzed how these efforts have changed the nature of neighborhood identity in Yanglim, Gwangju, Korea. The authors analyzed 62,386 Naver blog posts from 2013 to 2022, utilizing an Artificial Intelligence (AI) technique, Topic Modeling (i.e., Latent Dirichlet Allocation). Using trend analysis by topic, three phases were identified: (1) Phase 1: Flourishment (January 2013 to October 2016); (2) Phase 2: Maturation (November 2016 to February 2020); and (3) Phase 3: COVID-19 (March 2020 to October 2022). In the first phase, the collective actions between the local government and citizens to improve the declined neighborhood formed the Yanglim area’s reputation as the “History and Cultural Village” and as “Penguin Village”. The unique identity of the area in the second phase, along with gentrification issues, created a hot spot (e.g., cafés and restaurants), drawing the attention of tourists and locals. More recently, the Yanglim area has become a place for locals’ daily activities with their loved ones, as tourist traffic greatly dropped off due to the COVID-19 outbreak. Until now, the Yanglim area has experienced a process of successful urban regeneration from flourishment to degentrification. AI techniques represent a novel application that can support policy makers and stakeholders in understanding citizens and taking further actions to create economically and socially sustainable neighborhoods. © 2023 by the authors.","COVID-19; history and culture; hot spot; identity change; neighborhood identity; urban regeneration, Kwangju [South Korea]; South Korea; COVID-19; gentrification; hot spot; local government; neighborhood; trend analysis",English,Article,235,3,Urban Sustainability
57767239600; 25937507700,Urban network characteristics and influencing factors based on Douyin (TikTok) social media platform,2023,"With the development of 5G, AI, and the Internet, we have entered the era of video socialization. Based on the Douyin (TikTok) data, this study analyzed the characteristics of the urban network in China with the help of the social network analysis method, and explored the influencing factors by using the optimal parameters-based geographical detector. The results show that: 1) The unbalanced distribution pattern of different types of cities based on local and non-local connections is basically consistent with the long-standing east-west gap, and the city grade based on the Douyin (TikTok) social media platform does not completely follow the traditional city grade system. 2) The overall network showed a triangular pyramid structure, which is very similar to the development pattern of urban agglomerations in the 14th Five-Year Plan. 3) The main influencing factors of urban network centrality in China are the level of economic development and information development, and the secondary influencing factors are the level of logistics development and tourism development. 4) Due to the varied stages of development, different regions showed obvious spatial differences. The southwestern region was more affected by the level of logistics development, the northeastern region was more affected by the level of tourism development, and the northwestern region was more affected by the level of economic development. © 2023, Editorial office of PROGRESS IN GEOGRAPHY. All rights reserved.","China; agglomeration; economic development; logistics; social media; social network, Douyin (TikTok) data; optimal parameters-based geographical detector; social network analysis; urban network in China",Chinese,Article,225,11,Rural Resource Management
